knowledge_point_id,knowledge_point_name,level,observable_behaviors,representative_verbs,example_question,has_mapping
K1,在线教育的概念与特征,L1,能说出在线教育的定义；能列举在线教育的6个核心特征；能复述在线教育三阶段发展的名称,说出、列举、复述、指出,“在线教育和传统教育最大的区别是什么？”,true
K1,在线教育的概念与特征,L2,能用自己的话解释“开放性”“灵活性”的含义；能比较在线教育与传统教育的本质差异；能归纳在线教育的优势与局限,解释、比较、归纳、举例,“能用大白话解释为什么说在线教育具有开放性？”,true
K1,在线教育的概念与特征,L3,能根据具体场景选择合适的在线教育类型；能设计利用在线教育特征解决实际问题的基础方案,选择、运用、设计,“给这个乡村学校，你会选择哪种在线教育类型？”,true
K1,在线教育的概念与特征,L4,,,,false
K1,在线教育的概念与特征,L5,,,,false
K1,在线教育的概念与特征,L6,,,,false
K2,在线教育发展历程与趋势,L1,能说出在线教育三个发展阶段的名称；能列举三个国内MOOC平台；能复述“MOOC元年”是哪一年,说出、列举、复述,“在线教育经历了哪几个主要发展阶段？”,true
K2,在线教育发展历程与趋势,L2,能解释“互联网+教育”与早期远程教育的本质差异；能归纳中国在线教育的发展特点,解释、归纳、比较,“互联网+教育和之前的网络教育有什么不同？”,true
K2,在线教育发展历程与趋势,L3,能结合当前AI趋势，为特定学习者设计适合的在线学习方案；能运用发展规律评估某平台的成熟度,运用、分析、推断,“从发展趋势看，这个平台应该往哪个方向改进？”,true
K2,在线教育发展历程与趋势,L4,能分析中国在线教育政策演进的内在逻辑；能区分不同时期在线教育的核心矛盾,分析、区分、归因,,true
K2,在线教育发展历程与趋势,L5,,,,false
K2,在线教育发展历程与趋势,L6,,,,false
K3,在线学习理论（行为主义/建构主义/联通主义）,L1,能说出三种理论的名称及代表人物；能复述每种理论的核心命题；能识别概念的正例和反例,说出、复述、识别、匹配,“联通主义是谁提出的？它的核心观点是什么？”,true
K3,在线学习理论（行为主义/建构主义/联通主义）,L2,能用自己的话解释建构主义的“知识建构”；能比较三种理论对“知识在哪里”的不同回答；能举例说明ZPD在教学中的含义,解释、比较、举例、推断,“建构主义说知识在个人头脑中，联通主义说知识在网络中，这两者是矛盾的吗？”,true
K3,在线学习理论（行为主义/建构主义/联通主义）,L3,能根据情境选择合适的学习理论并设计对应的教学活动；能运用ZPD理论设计支架策略,选择、设计、运用、实施,“如果要给山区学校的老教师设计培训，你会用哪种理论？怎么设计？”,true
K3,在线学习理论（行为主义/建构主义/联通主义）,L4,能分析建构主义与行为主义的内在矛盾；能拆解MOOC设计中联通主义的具体体现；能归因某教学方案理论与实践的不一致性,分析、拆解、归因、对比,“你说要用建构主义，但你设计的活动是让学生看视频做题，这两者一致吗？”,true
K3,在线学习理论（行为主义/建构主义/联通主义）,L5,能评价建构主义在资源受限场景的适用性；能判断特定情境应选行为主义还是建构主义并充分论证,评价、判断、论证、批判,“有研究者认为建构主义不适合初学者，你怎么评价这个观点？”,true
K3,在线学习理论（行为主义/建构主义/联通主义）,L6,能整合多种理论设计创新教学模式；能建构适应特定场景的理论框架,整合、建构、创造、设计,“如果这三种理论都有道理，你能不能整合它们，创造一个新的指导框架？”,true
K4,MOOC/SPOC模式设计与实施,L1,能说出MOOC的全称；能列举cMOOC和xMOOC的区别；能复述MOOC四个核心特征,说出、列举、复述,“MOOC的全称是什么？这四个字母分别代表什么？”,true
K4,MOOC/SPOC模式设计与实施,L2,能解释MOOC与SPOC的本质差异；能比较cMOOC和xMOOC的设计理念；能推断MOOC完成率低的主要原因,解释、比较、推断,“为什么MOOC的完成率普遍很低？你觉得根本原因是什么？”,true
K4,MOOC/SPOC模式设计与实施,L3,能设计MOOC课程结构框架（含模块/单元/视频规划）；能选择合适的大规模互动方案,设计、规划、选择,“5000人的MOOC，互动怎么设计？老师不可能回复每个人吧？”,true
K4,MOOC/SPOC模式设计与实施,L4,能分析MOOC完成率低的多维原因；能对比MOOC与SPOC各自的核心依赖要素,分析、对比、拆解,“Coursera的MOOC和edX的MOOC都说基于不同理论，能分析一下它们真正的设计差异吗？”,true
K4,MOOC/SPOC模式设计与实施,L5,能评价同伴互评在MOOC中的信度与适用性；能基于证据判断MOOC是否适合特定场景,评价、判断、论证,“有人说同伴互评信度太低，不如不做，你怎么评价？”,true
K4,MOOC/SPOC模式设计与实施,L6,能创新MOOC的互动模式，突破“视频+测验+论坛”范式；能设计全新的MOOC形态解决完成率问题,创造、设计、创建、整合,“主流MOOC都是视频+测验+论坛，效果不好。你能不能设计一种全新的MOOC形态？”,true
K5,混合式学习设计,L1,能说出混合式学习的定义；能列举混合式学习的三种主要模式类型,说出、列举、复述,“混合式学习的核心要素是什么？”,true
K5,混合式学习设计,L2,能解释混合式的“有机融合”与简单叠加的区别；能比较线上与线下学习各自的优势劣势,解释、比较、归纳,“混合式学习不是把线上线下叠加在一起，那有机融合具体指什么？”,true
K5,混合式学习设计,L3,能为乡村学校设计具体的混合式课程安排（含轮班制）；能制定混合式学习的线上线下活动分工矩阵,设计、制定、选择,“这个学校只有一间多媒体教室，你怎么安排混合式学习的课表？”,true
K5,混合式学习设计,L4,能分析混合比例的合理性；能找出混合设计中线上线下割裂的问题,分析、找出、拆解,“你的方案线上部分和线下部分好像没什么关联，能分析一下为什么说它们是混合的吗？”,true
